 step     T          P        Pxy       etotal     epotential      ebonded     ekinetic
 3510   0.9737    0.50571  0.01258   577553.302     1267.546   547070.317    29215.438
 3520   0.9735    0.50573  0.01420   577541.936     1260.263   547069.947    29211.725
 3530   0.9733    0.50553  0.01575   577534.113     1259.199   547070.486    29204.428
 3540   0.9734    0.50523  0.01722   577536.758     1256.169   547072.394    29208.195
 3550   0.9738    0.50483  0.01871   577548.278     1252.111   547075.168    29220.999
 3560   0.9740    0.50404  0.02018   577567.565     1260.924   547079.439    29227.203
 3570   0.9745    0.50309  0.02164   577594.727     1268.108   547085.461    29241.158
 3580   0.9751    0.50195  0.02303   577623.688     1271.373   547093.168    29259.147
 3590   0.9757    0.50067  0.02450   577644.587     1264.392   547101.857    29278.338
 3600   0.9759    0.49907  0.02601   577659.286     1265.828   547111.080    29282.377
 3610   0.9760    0.49733  0.02753   577655.575     1249.602   547121.410    29284.563
 3620   0.9756    0.49524  0.02901   577663.817     1256.541   547133.062    29274.214
 3630   0.9761    0.49338  0.03030   577685.875     1249.981   547145.622    29290.273
 3640   0.9759    0.49114  0.03153   577702.316     1259.648   547158.987    29283.682
 3650   0.9764    0.48904  0.03286   577735.724     1264.688   547173.453    29297.583
 3660   0.9765    0.48660  0.03407   577759.711     1268.044   547189.707    29301.961
 3670   0.9766    0.48401  0.03529   577788.300     1277.003   547207.065    29304.232
 3680   0.9764    0.48120  0.03653   577808.155     1283.820   547225.359    29298.976
 3690   0.9766    0.47850  0.03774   577836.004     1286.504   547244.263    29305.237
 3700   0.9768    0.47574  0.03884   577865.150     1290.799   547263.929    29310.422
 3710   0.9768    0.47286  0.03980   577880.166     1286.487   547284.163    29309.516
 3720   0.9768    0.47005  0.04079   577904.015     1290.254   547304.720    29309.041
 3730   0.9769    0.46728  0.04178   577927.716     1287.997   547326.061    29313.658
 3740   0.9771    0.46454  0.04256   577950.940     1282.818   547347.952    29320.170
 3750   0.9770    0.46161  0.04315   577963.272     1275.477   547370.934    29316.861
 3760   0.9767    0.45860  0.04365   577982.048     1280.851   547394.452    29306.745
 3770   0.9763    0.45558  0.04406   577977.135     1262.950   547418.745    29295.440
 3780   0.9758    0.45260  0.04431   577984.422     1261.949   547443.351    29279.122
 3790   0.9756    0.44983  0.04450   577997.411     1256.597   547468.260    29272.554
 3800   0.9750    0.44719  0.04461   578006.272     1257.446   547492.477    29256.349
 3810   0.9746    0.44480  0.04458   578024.946     1264.460   547516.469    29244.016
 3820   0.9747    0.44278  0.04436   578046.437     1260.603   547540.264    29245.570
 3830   0.9746    0.44080  0.04412   578080.968     1273.744   547564.309    29242.915
 3840   0.9743    0.43895  0.04365   578104.809     1281.043   547587.836    29235.929
 3850   0.9735    0.43706  0.04317   578114.040     1290.942   547610.978    29212.121
 3860   0.9727    0.43532  0.04281   578110.682     1291.698   547633.367    29185.617
 3870   0.9718    0.43371  0.04217   578111.487     1294.602   547655.590    29161.295
 3880   0.9709    0.43222  0.04155   578110.002     1299.796   547677.188    29133.018
 3890   0.9706    0.43117  0.04069   578111.245     1288.426   547697.718    29125.101
 3900   0.9701    0.43012  0.03973   578111.646     1286.151   547717.427    29108.068
 3910   0.9696    0.42921  0.03872   578124.676     1294.607   547736.318    29093.751
 3920   0.9692    0.42848  0.03777   578125.584     1288.937   547754.143    29082.503
 3930   0.9685    0.42772  0.03662   578127.961     1295.680   547770.819    29061.462
 3940   0.9676    0.42696  0.03560   578108.037     1287.833   547786.353    29033.851
 3950   0.9670    0.42638  0.03449   578118.461     1301.850   547801.008    29015.602
 3960   0.9669    0.42601  0.03329   578134.995     1307.353   547814.751    29012.890
 3970   0.9662    0.42541  0.03205   578124.472     1307.132   547826.871    28990.470
 3980   0.9662    0.42517  0.03083   578136.170     1306.124   547837.485    28992.562
 3990   0.9658    0.42481  0.02955   578141.909     1314.725   547846.476    28980.708
 4000   0.9655    0.42451  0.02817   578141.237     1318.285   547853.544    28969.407
 4010   0.9654    0.42433  0.02676   578152.232     1324.059   547859.525    28968.647
 4020   0.9652    0.42396  0.02536   578146.152     1321.101   547864.635    28960.416
 4030   0.9647    0.42351  0.02400   578136.608     1322.197   547868.142    28946.269
 4040   0.9646    0.42321  0.02264   578134.005     1321.063   547870.178    28942.763
 4050   0.9643    0.42277  0.02116   578129.042     1321.490   547871.583    28935.969
 4060   0.9640    0.42228  0.01973   578118.344     1320.094   547871.612    28926.638
 4070   0.9644    0.42215  0.01840   578124.133     1316.573   547869.537    28938.022
 4080   0.9646    0.42192  0.01710   578140.247     1331.653   547866.005    28942.589
 4090   0.9651    0.42188  0.01565   578147.833     1327.538   547861.003    28959.292
 4100   0.9658    0.42190  0.01419   578168.545     1335.310   547854.744    28978.491
 4110   0.9662    0.42177  0.01278   578174.996     1334.091   547848.182    28992.723
 4120   0.9667    0.42166  0.01137   578185.658     1339.312   547840.387    29005.959
 4130   0.9677    0.42184  0.00988   578210.389     1343.503   547831.412    29035.473
 4140   0.9683    0.42204  0.00838   578223.641     1348.990   547820.985    29053.666
 4150   0.9685    0.42221  0.00698   578232.797     1361.897   547809.254    29061.647
 4160   0.9688    0.42255  0.00551   578224.338     1357.368   547796.160    29070.810
 4170   0.9693    0.42315  0.00406   578225.932     1359.524   547781.742    29084.666
 4180   0.9699    0.42399  0.00272   578230.329     1362.376   547765.854    29102.099
 4190   0.9705    0.42508  0.00117   578225.675     1356.723   547748.412    29120.540
 4200   0.9710    0.42620 -0.00022   578215.510     1348.466   547730.631    29136.412
 4210   0.9716    0.42743 -0.00176   578205.535     1340.442   547712.341    29152.751
 4220   0.9721    0.42880 -0.00323   578198.788     1337.153   547693.128    29168.507
 4230   0.9727    0.43038 -0.00485   578197.665     1336.114   547673.227    29188.323
 4240   0.9735    0.43217 -0.00654   578197.565     1333.818   547652.758    29210.990
 4250   0.9742    0.43408 -0.00826   578185.394     1323.045   547631.470    29230.878
 4260   0.9746    0.43604 -0.01002   578175.716     1321.989   547609.630    29244.097
 4270   0.9754    0.43828 -0.01182   578176.634     1320.567   547587.257    29268.810
 4280   0.9758    0.44040 -0.01349   578161.918     1317.000   547564.919    29279.999
 4290   0.9760    0.44255 -0.01524   578138.680     1310.384   547542.726    29285.570
 4300   0.9765    0.44495 -0.01706   578129.490     1307.120   547520.395    29301.975
 4310   0.9765    0.44721 -0.01879   578105.737     1307.637   547497.851    29300.248
 4320   0.9765    0.44960 -0.02060   578080.110     1303.139   547475.054    29301.917
 4330   0.9771    0.45231 -0.02229   578076.357     1304.117   547452.012    29320.229
 4340   0.9770    0.45484 -0.02404   578040.835     1297.025   547428.665    29315.145
 4350   0.9767    0.45739 -0.02576   578021.516     1309.966   547405.402    29306.147
 4360   0.9763    0.45993 -0.02747   577976.747     1300.745   547381.937    29294.065
 4370   0.9768    0.46283 -0.02915   577963.335     1296.072   547358.716    29308.548
 4380   0.9774    0.46578 -0.03074   577969.814     1305.086   547335.980    29328.748
 4390   0.9772    0.46842 -0.03233   577940.811     1307.465   547312.951    29320.395
 4400   0.9775    0.47125 -0.03386   577927.055     1304.074   547290.950    29332.032
 4410   0.9778    0.47392 -0.03532   577913.918     1304.071   547269.955    29339.892
 4420   0.9784    0.47654 -0.03675   577906.311     1299.096   547250.439    29356.775
 4430   0.9786    0.47893 -0.03795   577897.702     1300.669   547232.058    29364.976
 4440   0.9786    0.48102 -0.03908   577871.868     1293.527   547215.294    29363.047
 4450   0.9786    0.48300 -0.03998   577849.495     1286.957   547199.874    29362.663
 4460   0.9783    0.48477 -0.04084   577825.824     1285.818   547185.928    29354.078
 4470   0.9783    0.48653 -0.04160   577810.443     1282.709   547173.502    29354.232
 4480   0.9782    0.48806 -0.04230   577784.818     1269.221   547163.041    29352.557
 4490   0.9782    0.48942 -0.04275   577772.060     1264.761   547154.064    29353.235
 4500   0.9785    0.49074 -0.04315   577781.331     1273.976   547146.251    29361.104
 4510   0.9786    0.49187 -0.04328   577765.998     1261.507   547139.913    29364.577
 4520   0.9789    0.49289 -0.04335   577763.924     1254.395   547135.458    29374.070
 4530   0.9782    0.49334 -0.04330   577741.293     1255.944   547132.448    29352.901
 4540   0.9783    0.49400 -0.04316   577742.515     1256.949   547130.373    29355.194
 4550   0.9780    0.49436 -0.04278   577726.968     1251.513   547129.597    29345.857
 4560   0.9779    0.49469 -0.04228   577724.348     1250.398   547129.885    29344.064
 4570   0.9781    0.49494 -0.04171   577737.152     1255.798   547131.619    29349.735
 4580   0.9780    0.49489 -0.04096   577735.775     1253.632   547134.954    29347.188
 4590   0.9775    0.49442 -0.04023   577719.565     1248.097   547140.045    29331.423
 4600   0.9774    0.49396 -0.03928   577721.206     1248.762   547145.973    29326.471
 4610   0.9768    0.49328 -0.03808   577710.410     1246.484   547152.570    29311.356
 4620   0.9765    0.49255 -0.03687   577704.390     1242.658   547160.349    29301.383
 4630   0.9767    0.49183 -0.03576   577724.733     1247.648   547169.694    29307.390
 4640   0.9763    0.49068 -0.03443   577724.755     1251.345   547179.921    29293.489
 4650   0.9762    0.48953 -0.03304   577729.913     1247.260   547191.280    29291.373
 4660   0.9761    0.48827 -0.03158   577736.265     1242.853   547203.523    29289.889
 4670   0.9757    0.48669 -0.02995   577737.114     1243.568   547216.927    29276.619
 4680   0.9753    0.48494 -0.02832   577730.131     1234.947   547231.672    29263.512
 4690   0.9749    0.48307 -0.02658   577728.422     1228.356   547247.646    29252.420
 4700   0.9746    0.48112 -0.02485   577737.295     1229.921   547264.148    29243.226
 4710   0.9747    0.47913 -0.02284   577756.094     1226.976   547282.373    29246.744
 4720   0.9745    0.47690 -0.02100   577781.381     1237.404   547301.630    29242.346
 4730   0.9744    0.47460 -0.01912   577801.010     1241.960   547321.356    29237.694
 4740   0.9740    0.47222 -0.01732   577813.939     1248.253   547340.870    29224.816
 4750   0.9738    0.46992 -0.01548   577825.613     1245.853   547360.580    29219.180
 4760   0.9740    0.46767 -0.01384   577847.596     1241.965   547381.172    29224.458
 4770   0.9733    0.46510 -0.01205   577855.101     1249.307   547401.805    29203.989
 4780   0.9726    0.46250 -0.01020   577846.526     1240.423   547422.732    29183.371
 4790   0.9728    0.46020 -0.00858   577875.167     1240.157   547444.235    29190.775
 4800   0.9730    0.45787 -0.00704   577900.455     1239.146   547465.893    29195.416
 4810   0.9733    0.45555 -0.00540   577938.980     1247.340   547488.139    29203.501
 4820   0.9732    0.45304 -0.00396   577955.185     1243.312   547511.094    29200.779
 4830   0.9730    0.45051 -0.00250   577980.388     1249.240   547534.254    29196.894
 4840   0.9725    0.44787 -0.00101   578000.062     1260.860   547557.318    29181.884
 4850   0.9725    0.44543  0.00037   578010.822     1248.897   547580.690    29181.236
 4860   0.9719    0.44280  0.00182   578012.227     1246.894   547603.943    29161.389
 4870   0.9716    0.44035  0.00303   578028.697     1248.126   547627.400    29153.171
 4880   0.9712    0.43795  0.00415   578040.125     1247.540   547650.252    29142.334
 4890   0.9705    0.43552  0.00531   578040.564     1246.597   547672.406    29121.562
 4900   0.9703    0.43344  0.00644   578063.218     1256.372   547693.392    29113.454
 4910   0.9699    0.43148  0.00750   578070.253     1253.973   547713.310    29102.970
 4920   0.9696    0.42958  0.00858   578076.724     1251.398   547732.854    29092.473
 4930   0.9691    0.42773  0.00958   578076.001     1246.549   547751.290    29078.162
 4940   0.9685    0.42591  0.01064   578070.982     1239.528   547769.244    29062.210
 4950   0.9685    0.42444  0.01134   578087.744     1240.799   547785.691    29061.254
 4960   0.9685    0.42307  0.01206   578099.902     1239.516   547800.832    29059.555
 4970   0.9682    0.42165  0.01279   578090.137     1224.052   547815.136    29050.949
 4980   0.9683    0.42053  0.01341   578107.659     1223.292   547828.186    29056.181
 4990   0.9683    0.41943  0.01408   578115.283     1221.834   547839.597    29053.852
 5000   0.9683    0.41836  0.01462   578128.961     1225.080   547850.422    29053.459
